,subject,topic_label
0,invoice from qualarc inc.,Invoices and Support
1,you have a message waiting for you,Customer Messages
2,youâ€™ve got a chat message for national tree company pre lit classic penguin decoration #85547.,Promotions and Offers
3,re: unshipped order-epps,Promotions and Offers
4,7 new walmart marketplace orders received,New Orders and Shipments
5,follow - up for order id #vv-us-cda-28477,Order Requests and Tickets
6,[bambini layette] bam29345 package in transit,Miscellaneous/Unknown
7,elevate your walmart presence with our seo & marketing services!,System Notifications
8,elevate your walmart presence with our seo & marketing services!,System Notifications
9,a customer is waiting for an answer on nearly natural 3ft. grass spiral...,Customer Messages
10,[bambini layette] bam29343 package in transit,Miscellaneous/Unknown
11,your dispute case #06939460 is closed,Disputes and Cases
12,[bambini layette] bam29350 package in transit,Miscellaneous/Unknown
13,"youâ€™ve got a chat message for zline 30 4.0 cu. ft. dual fuel range with gas stove and electric oven #71458.""",Customer Messages
14,reinstating our prior return policy,Customer Inquiries
15,inquiry from amazon customer laura moffett(order: 113-3195852-0382666),Customer Inquiries
16,5 new walmart marketplace orders received,New Orders and Shipments
17,want consistent branding across your organization?,Disputes and Cases
18,order cancelation request for order id: 114-1217581-4920248,Order Requests and Tickets
19,invoice from qualarc inc.,Invoices and Support
20,your returns label is ready,New Orders and Shipments
21,"youâ€™ve got a chat message for viski angled stemmed cocktail glasses, set of 2 #37236.",Customer Messages
22,trademark claim received â€“ item removed,Customer Inquiries
23,youâ€™ve received an offer for national tree company pre lit classic penguin decoration #85547.,Promotions and Offers
24,$12 patio lights | hammocks from $4 | planters under $50,Customer Messages
25,invoice from aps,Invoices and Support
26,invoice from qualarc inc.,Invoices and Support
27,invoice from qualarc inc.,Invoices and Support
28,invoice from qualarc inc.,Invoices and Support
29,8 new walmart marketplace orders received,New Orders and Shipments
30,craft a moment for you,Promotions and Offers
31,nan,Miscellaneous/Unknown
32,invoice from qualarc inc.,Invoices and Support
33,sharowesseliu_0 sent a message about medline toilet safety rails #364698128674,Delivery Status and Failures
34,your dispute case #06939169 is closed,Disputes and Cases
35,5 ways to minimize job-site errors,Customer Inquiries
36,new order received,New Orders and Shipments
37,customer contact,New Orders and Shipments
38,2106625536 virventures inc 1617128 medline rma,Disputes and Cases
39,your e-mail to julie l. bartz,Customer Inquiries
40,your e-mail to john sanoske,Invoices and Support
41,your e-mail to kelly,Customer Inquiries
42,youâ€™ve got a chat message for cushions for pallet - sand polyester outdoor seating and indoor sofa pad #90603.,Customer Messages
43,inquiry from amazon customer crystal roussel,Customer Inquiries
44,access chatgpt(gpt-4o) in hexomatic,New Orders and Shipments
45,may 2024 real estate spotlight | engel & vã¶lkers | the wharf,New Orders and Shipments
46,re: alert ! walmart-merkatoos orders crossed ship date ! :,Order Requests and Tickets
47,mazal distribution updated catalog 05/14/2024 great deals,Promotions and Offers
48,register today! | may & june cisco trainings,Delivery Status and Failures
49,your e-mail to cathy avery,Miscellaneous/Unknown
50,"you have made a sale: scented moth balls packets, kill clothes moths and carpet beetles, 6 #40396",System Notifications
51,"nandansons wholesale specials price list for may 14, 2024",Invoices and Support
52,"message from walmart.com customer, ref id: 78ef508a8cd84d2eac226cb4602c4a21",Customer Messages
53,sla shipments,New Orders and Shipments
54,sla pending confirmation,Customer Inquiries
55,request #318851: how would you rate the support you received?,Invoices and Support
56,your e-mail to crystal roussel,Customer Inquiries
57,please be advised that the following sku is are no longer available through our drop ship program.,Disputes and Cases
58,father is day first look,New Orders and Shipments
59,re: 0[walmart-merkatoos#vir3aba0884],New Orders and Shipments
60,emacedo.2012 sent a message about prox xt-mch1tx2-30ft set of 2: 1 ton manual chain hoist w/30 ft (9 m) chain #134669786860,Delivery Status and Failures
61,celerie kembleâ€™s exclusive outdoor collection,Customer Inquiries
62,3 new walmart marketplace orders received,New Orders and Shipments
63,your elegant credit memo # cm157429,System Notifications
64,inquiry from amazon customer sharon l. robertson(order: 111-4982599-3340252),Customer Inquiries
65,the best customized freight solution from ease freight,Invoices and Support
66,which affiliate offers have zero competition ?,Promotions and Offers
67,"smit4159-cpzi4s has sent a question about item #134954419669, ending on 27-may-2024 13:20:12 ist - 1999-2002 chevy silverado 1500 /2000-2006 chevy suburban /2000-2006 chevy tah...",Delivery Status and Failures
68,a customer is waiting for an answer on rainbow loom assorted tie dye...,Customer Messages
69,walmart refund data,Customer Messages
70,graham-field customer service,Invoices and Support
71,nan,Miscellaneous/Unknown
